split,class,label,filepath
train,Bean,0,train/Bean/0026.jpg
train,Bean,0,train/Bean/0028.jpg
train,Bean,0,train/Bean/0029.jpg
train,Bean,0,train/Bean/0030.jpg
train,Bean,0,train/Bean/0034.jpg
train,Bean,0,train/Bean/0035.jpg
train,Bean,0,train/Bean/0036.jpg
train,Bean,0,train/Bean/0037.jpg
train,Bean,0,train/Bean/0039.jpg
train,Bean,0,train/Bean/0041.jpg
train,Bean,0,train/Bean/0045.jpg
train,Bean,0,train/Bean/0047.jpg
train,Bean,0,train/Bean/0055.jpg
train,Bean,0,train/Bean/0058.jpg
train,Bean,0,train/Bean/0061.jpg
train,Bean,0,train/Bean/0063.jpg
train,Bean,0,train/Bean/0064.jpg
train,Bean,0,train/Bean/0065.jpg
train,Bean,0,train/Bean/0066.jpg
train,Bean,0,train/Bean/0067.jpg
train,Bean,0,train/Bean/0068.jpg
train,Bean,0,train/Bean/0069.jpg
train,Bean,0,train/Bean/0070.jpg
train,Bean,0,train/Bean/0071.jpg
train,Bean,0,train/Bean/0072.jpg
train,Bean,0,train/Bean/0073.jpg
train,Bean,0,train/Bean/0074.jpg
train,Bean,0,train/Bean/0075.jpg
train,Bean,0,train/Bean/0076.jpg
train,Bean,0,train/Bean/0077.jpg
train,Bean,0,train/Bean/0078.jpg
train,Bean,0,train/Bean/0079.jpg
train,Bean,0,train/Bean/0080.jpg
train,Bean,0,train/Bean/0081.jpg
train,Bean,0,train/Bean/0082.jpg
train,Bean,0,train/Bean/0083.jpg
train,Bean,0,train/Bean/0084.jpg
train,Bean,0,train/Bean/0085.jpg
train,Bean,0,train/Bean/0086.jpg
train,Bean,0,train/Bean/0087.jpg
train,Bean,0,train/Bean/0088.jpg
train,Bean,0,train/Bean/0089.jpg
train,Bean,0,train/Bean/0090.jpg
train,Bean,0,train/Bean/0091.jpg
train,Bean,0,train/Bean/0092.jpg
train,Bean,0,train/Bean/0093.jpg
train,Bean,0,train/Bean/0094.jpg
